Variable,DescrCA,DescrES,DescrEN,Valor_Value,LabelCA,LabelES,LabelEN,,,,,,,,
T5_VOLUNTARIAT10,Activitats de voluntariat. Associacions d’art, recreatives o folklòriques,Actividades de voluntariado. Asociaciones de arte, recreativas o folclóricas,Volunteer activities. Art, recreational or folk associations,,,,,,,,,
T5_VOLUNTARIAT10,,,,1,Sí,Sí,Yes,,,,,,,,
T5_VOLUNTARIAT10,,,,6,No,No,No,,,,,,,,
T5_VOLUNTARIAT11,Activitats de voluntariat. Organitzacions per a l’educació,Actividades de voluntariado. Organizaciones para la educación,Volunteer activities. Educational organisations,,,,,,,,,,,,
T5_VOLUNTARIAT11,,,,1,Sí,Sí,Yes,,,,,,,,
T5_VOLUNTARIAT11,,,,6,No,No,No,,,,,,,,
T5_VOLUNTARIAT12,Activitats de voluntariat. Altres,Actividades de voluntariado. Otros,Volunteer activities. Others,,,,,,,,,,,,
T5_VOLUNTARIAT12,,,,1,Sí,Sí,Yes,,,,,,,,
T5_VOLUNTARIAT12,,,,6,No,No,No,,,,,,,,
T6_ESTUDI_ALT,24. Quin és l’estudi de més alt nivell que ha assolit?,24. ¿Cuáles son los estudios de mayor nivel que ha alcanzado?,24. What is the highest educational level you have achieved?,,,,,,,,,,,,
T6_ESTUDI_ALT,,,,1,No sap llegir ni escriure,No sabe leer ni escribir,Cannot read or write,,,,,,,,
T6_ESTUDI_ALT,,,,2,Estudis primaris incomplets,Estudios primarios incompletos,Primary school not completed,,,,,,,,
T6_ESTUDI_ALT,,,,3,Estudis primaris o equivalents,Estudios primarios o equivalentes,Primary school or equivalent,,,,,,,,
T6_ESTUDI_ALT,,,,4,Educació secundària de primera etapa,Educación secundaria de primera etapa,First stage of secondary education,,,,,,,,
T6_ESTUDI_ALT,,,,5,Ensenyaments de batxillerat,Enseñanzas de bachillerato,Baccalaureate,,,,,,,,
T6_ESTUDI_ALT,,,,6,Ensenyaments professionals de grau mitjà,Enseñanzas profesionales de grado medio,Intermediate vocational education,,,,,,,,
T6_ESTUDI_ALT,,,,7,Ensenyaments professionals de grau superior,Enseñanzas profesionales de grado superior,Higher vocational education,,,,,,,,
T6_ESTUDI_ALT,,,,8,Estudis universitaris de primer cicle,Estudios universitarios de primer ciclo,Undergraduate university studies,,,,,,,,
T6_ESTUDI_ALT,,,,9,Estudis universitaris de segon cicle,Estudios universitarios de segundo ciclo,Postgraduate university studies,,,,,,,,
T6_PAIS_NAIX,25. A quin país va néixer?,25. ¿En qué país nació?,25. What country were you born in?,,,,,,,,,,,,
T6_PAIS_NAIX,,,,1,A Espanya,En España,In Spain,,,,,,,,
T6_PAIS_NAIX,,,,2,En un país de la Unió Europea,En un país de la Unión Europea,In a European Union country,,,,,,,,
T6_PAIS_NAIX,,,,3,En un altre país,En otro país,In another country,,,,,,,,
T6_NACIONALITAT,26. Quina nacionalitat té?,26. ¿Cuál es su nacionalidad?,26. What is your nationality?,,,,,,,,,,,,
T6_NACIONALITAT,,,,1,Espanyola,Española,Spanish,,,,,,,,
T6_NACIONALITAT,,,,2,La d'un país de la Unió Europea,La de un país de la Unión Europea,A European Union country,,,,,,,,
