Variable,DescrCA,DescrES,DescrEN,Valor_Value,LabelCA,LabelES,LabelEN,,
LECTURA2,Participa en activitats de lectura,Participa en actividades de lectura,Participates in reading activities,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
TELE2,Participa en activitats de mirar la televisió, vídeo o DVD,Participa en actividades de mirar la televisión, video o DVD,Participates in TV, video or DVD watching activities,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
RADIO2,Participa en activitats d'escoltar la ràdio o gravacions,Participa en actividades de escuchar la radio o grabaciones,Participates in radio or recording listening activities ,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
DESPLAÇ_FI2,Participa en activitats de trajectes amb finalitat especificada o no,Participa en actividades de trayectos con finalidad especificada o no,Participates in travel activities for a specified or unspecified purpose,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
DESPLAÇ_TREB2,Participa en activitats de trajectes d'anada a la feina i tornada a casa,Participa en actividades de trayectos de ida al trabajo y vuelta a casa,Participates in travel activities to and from work,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
DESPLAÇ_EST2,Participa en activitats de trajectes deguts a estudis,Participa en actividades de trayectos debidos a estudios,Participates in travel activities due to studies,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
DESPLAÇ_LLARFAM2,Participa en activitats de trajectes deguts a la llar i la família,Participa en actividades de trayectos debidos al hogar y la familia,Participates in travel activities due to home and family,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
DESPLAÇ_VOL2,Participa en activitats de trajectes deguts al treball voluntari i reunions,Participa en actividades de trayectos debidos al trabajo voluntario y reuniones,Participates in travel activities due to volunteer work and meetings,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
DESPLAÇ_VIDSOC2,Participa en activitats de trajectes deguts a la vida social,Participa en actividades de trayectos debidos a la vida social,Participates in travel activities due to social life,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
DESPLAÇ_TLL2,Participa en activitats de trajectes deguts a altres activitas de temps lliure,Participa en actividades de trayectos debidos a otras actividades de tiempo libre,Participates in travel activities due to other leisure activities,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
DESPLAÇ_MUNI2,Participa en activitats de trajectes amb finalitat de canvi de municipi,Participa en actividades de trayectos con finalidad de cambio de municipio,Participates in travel activities for the purpose of changing municipality,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
CODIS_AUX2,Participa en altres activitats com emplenar enquestes, temps lliure no especificat o altres,Participa en otras actividades como rellenar encuestas, tiempo libre no especificado u otros,Participates in other activities such as completing surveys, unspecified free time or others,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
APRIN_6,Activitat principal a les 6:00 (a un dígit),Actividad principal a las 6:00 (a un dígito),Main activity at 6:00 (one digit),,,,,,
APRIN_6,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_6,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_6,,,,2,Estudis,Estudios,Studying,,
APRIN_6,Activitat principal a les 6:00 (a un dígit ),Actividad principal a las 6:00 (a un dígito),Main activity at 6:00 (one digit),3,Llar i família,Hogar y familia,Home and family,,
APRIN_6,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_6,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_6,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_6,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_6,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_6,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_7,Activitat principal a les 7:00 (a un dígit),Actividad principal a las 7:00 (a un dígito),Main activity at 7:00 (one digit),,,,,,
APRIN_7,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_7,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_7,,,,2,Estudis,Estudios,Studying,,
