IDQUEST_HT 	CODI_LLAR 	CODI_PERSONA 	TEMPS_TREB_SET 	TEMPS_DIA1 	NOM_DIA1 	TREB_DIA1 	TEMPS_DIA2 	NOM_DIA2 	TREB_DIA2 	TEMPS_DIA3 	NOM_DIA3 	TREB_DIA3 	TEMPS_DIA4 	NOM_DIA4 	TREB_DIA4 	TEMPS_DIA5 	NOM_DIA5 	TREB_DIA5 	TEMPS_DIA6 	NOM_DIA6 	TREB_DIA6 	TEMPS_DIA7 	NOM_DIA7 	TREB_DIA7
   4302802 	     3028 	          02 	           900 	         0 	       6 	        6 	         0 	       7 	        6 	       180 	       1 	        1 	       180 	       2 	        1 	       180 	       3 	        1 	       180 	       4 	        1 	       180 	       5 	        1
   4303301 	     3033 	          01 	          4350 	       660 	       4 	        1 	       660 	       5 	        1 	       660 	       6 	        1 	       660 	       7 	        1 	       570 	       1 	        1 	       570 	       2 	        1 	       570 	       3 	        1
   4303302 	     3033 	          02 	          4620 	       660 	       4 	        1 	       660 	       5 	        1 	       660 	       6 	        1 	       660 	       7 	        1 	       660 	       1 	        1 	       660 	       2 	        1 	       660 	       3 	        1
   4303401 	     3034 	          01 	          1800 	       360 	       4 	        1 	       360 	       5 	        1 	       360 	       6 	        1 	         0 	       7 	        6 	         0 	       1 	        6 	       360 	       2 	        1 	       360 	       3 	        1
   4303402 	     3034 	          02 	          3330 	       480 	       4 	        1 	       480 	       5 	        1 	       480 	       6 	        1 	       480 	       7 	        1 	       480 	       1 	        1 	       480 	       2 	        1 	       450 	       3 	        1
   4303701 	     3037 	          01 	          3240 	       540 	       6 	        1 	       540 	       7 	        1 	       540 	       1 	        1 	       540 	       2 	        1 	       540 	       3 	        1 	       540 	       4 	        1 	         0 	       5 	        6
   4303702 	     3037 	          02 	          3810 	       540 	       6 	        1 	       540 	       7 	        1 	       540 	       1 	        1 	       540 	       2 	        1 	       540 	       3 	        1 	       600 	       4 	        1 	       510 	       5 	        1
   4304501 	     3045 	          01 	          2760 	         0 	       6 	        6 	         0 	       7 	        6 	       540 	       1 	        1 	       570 	       2 	        1 	       555 	       3 	        1 	       540 	       4 	        1 	       555 	       5 	        1
   4304602 	     3046 	          02 	          3000 	         0 	       7 	        6 	       510 	       1 	        1 	       510 	       2 	        1 	       510 	       3 	        1 	       510 	       4 	        1 	       510 	       5 	        1 	       450 	       6 	        1
   4304701 	     3047 	          01 	          2400 	       480 	       1 	        1 	       480 	       2 	        1 	       480 	       3 	        1 	       480 	       4 	        1 	       480 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6
